t_s,theta_rad_clean,omega_rad_s_clean,theta_rad_noisy,omega_rad_s_noisy
0.000000,0.5000000000,0.0000000000,0.5049671415,0.0092463368
0.010000,0.4995297510,-0.0940362976,0.4981471080,-0.0934399939
0.020000,0.4981198139,-0.1879106429,0.5045966993,-0.1943800107
0.030000,0.4957726178,-0.2814611140,0.5110029163,-0.2744788809
0.040000,0.4924922107,-0.3745258546,0.4901506770,-0.3705910008
0.050000,0.4882842589,-0.4669431171,0.4859428894,-0.4579911849
0.060000,0.4831560453,-0.5585513178,0.4989481734,-0.5521995998
0.070000,0.4771164673,-0.6491891097,0.4847908146,-0.6386935826
0.080000,0.4701760346,-0.7386954735,0.4654812907,-0.7440478256
0.090000,0.4623468646,-0.8269098329,0.4677724650,-0.8137358923
0.100000,0.4536426780,-0.9136721964,0.4490085010,-0.9116962003
0.110000,0.4440787916,-0.9988233261,0.4394214940,-0.9780707174
0.120000,0.4336721100,-1.0822049399,0.4360917327,-1.0890968180
0.130000,0.4224411150,-1.1636599434,0.4033083125,-1.1463003054
0.140000,0.4104058521,-1.2430326976,0.3931566738,-1.2410535898
0.150000,0.3975879150,-1.3201693184,0.3919650397,-1.3266834984
0.160000,0.3840104258,-1.3949180108,0.3738821146,-1.3997568691
0.170000,0.3696980127,-1.4671294358,0.3728404860,-1.4703329089
0.180000,0.3546767833,-1.5366571080,0.3455965425,-1.5324154486
0.190000,0.3389742941,-1.6033578222,0.3248512571,-1.5981294673
0.200000,0.3226195154,-1.6670921059,0.3372760031,-1.6728291060
0.210000,0.3056427915,-1.7277246950,0.3033850285,-1.7279682409
0.220000,0.2880757963,-1.7851250266,0.2887510783,-1.7637023230
0.230000,0.2699514836,-1.8391677462,0.2557040018,-1.8218923145
0.240000,0.2513040328,-1.8897332230,0.2458602056,-1.8853699863
0.250000,0.2321687887,-1.9367080675,0.2332780146,-1.9363280327
0.260000,0.2125821965,-1.9799856465,0.2010722608,-1.9787853333
0.270000,0.1925817321,-2.0194665876,0.1963387123,-2.0133314078
0.280000,0.1722058266,-2.0550592677,0.1661994397,-2.0652871933
0.290000,0.1514937866,-2.0866802800,0.1485768491,-2.0892540454
0.300000,0.1304857100,-2.1142548711,0.1244686439,-2.1309407119
0.310000,0.1092223973,-2.1377173439,0.1277451791,-2.1337251127
0.320000,0.0877452589,-2.1570114197,0.0876102867,-2.1505394603
0.330000,0.0660962198,-2.1720905543,0.0555191105,-2.1769224189
0.340000,0.0443176206,-2.1829182045,0.0525430697,-2.1671783369
0.350000,0.0224521163,-2.1894680389,0.0102436798,-2.2017256955
0.360000,0.0005425736,-2.1917240920,0.0026312095,-2.2063678408
0.370000,-0.0213680335,-2.1896808581,-0.0409647347,-2.1874363399
0.380000,-0.0432367281,-2.1833433237,-0.0565185886,-2.1728723407
0.390000,-0.0650206359,-2.1727269381,-0.0630520236,-2.1558876612
0.400000,-0.0866770890,-2.1578575226,-0.0792924232,-2.1624463652
0.410000,-0.1081637287,-2.1387711193,-0.1064500458,-2.1279843110
0.420000,-0.1294386072,-2.1155137832,-0.1305950900,-2.1158988679
0.430000,-0.1504602862,-2.0881413178,-0.1534713231,-2.0898675908
0.440000,-0.1711879329,-2.0567189623,-0.1859731528,-2.0478823630
0.450000,-0.1915814125,-2.0213210308,-0.1987798546,-2.0147978020
0.460000,-0.2116013773,-1.9820305118,-0.2162077650,-1.9977944334
0.470000,-0.2312093507,-1.9389386321,-0.2206381284,-1.9241732286
0.480000,-0.2503678079,-1.8921443919,-0.2469316250,-1.8783434784
0.490000,-0.2690402509,-1.8417540768,-0.2866706524,-1.8480097039
0.500000,-0.2871912787,-1.7878807537,-0.2839504390,-1.7839227184
0.510000,-0.3047866531,-1.7306437567,-0.3086374759,-1.7257034548
0.520000,-0.3217933580,-1.6701681689,-0.3285625780,-1.6675614312
0.530000,-0.3381796550,-1.6065843074,-0.3320628921,-1.6120873589
0.540000,-0.3539151329,-1.5400272154,-0.3436051377,-1.5467434491
0.550000,-0.3689707524,-1.4706361683,-0.3596579512,-1.4708917090
0.560000,-0.3833188861,-1.3985541972,-0.3917110614,-1.3868269070
