ID,Longitud del pendulo (m),Numero de medicion,Tiempo de 10 oscilaciones (s),Periodo de oscilacion (s),Periodo al cuadrado (s²),Gravedad experimental (m/s²)
1,0.2,1,8.996,0.9,0.8093,9.756
2,0.2,2,8.964,0.896,0.8036,9.825
3,0.2,3,9.004,0.9,0.8107,9.74
4,0.2,4,9.048,0.905,0.8186,9.646
5,0.2,5,8.96,0.896,0.8028,9.836
6,0.2,6,8.96,0.896,0.8028,9.836
7,0.2,7,9.05,0.905,0.8191,9.64
8,0.2,8,9.01,0.901,0.8118,9.727
9,0.2,9,8.948,0.895,0.8007,9.862
10,0.2,10,8.999,0.9,0.8097,9.751
11,0.3,1,10.965,1.096,1.2022,9.852
12,0.3,2,10.964,1.096,1.2022,9.852
13,0.3,3,11.0,1.1,1.21,9.788
14,0.3,4,10.892,1.089,1.1864,9.983
15,0.3,5,10.901,1.09,1.1884,9.966
16,0.3,6,10.96,1.096,1.2011,9.86
17,0.3,7,10.937,1.094,1.1962,9.901
18,0.3,8,11.003,1.1,1.2107,9.782
19,0.3,9,10.942,1.094,1.1973,9.892
20,0.3,10,10.917,1.092,1.1918,9.937
21,0.4,1,12.761,1.276,1.6284,9.698
22,0.4,2,12.676,1.268,1.6069,9.827
23,0.4,3,12.691,1.269,1.6106,9.805
24,0.4,4,12.616,1.262,1.5917,9.921
25,0.4,5,12.66,1.266,1.6028,9.852
26,0.4,6,12.693,1.269,1.6111,9.801
27,0.4,7,12.63,1.263,1.5952,9.9
28,0.4,8,12.706,1.271,1.6145,9.781
29,0.4,9,12.657,1.266,1.6021,9.857
30,0.4,10,12.673,1.267,1.606,9.833
31,0.5,1,14.155,1.415,2.0036,9.852
32,0.5,2,14.278,1.428,2.0385,9.683
33,0.5,3,14.184,1.418,2.012,9.811
34,0.5,4,14.132,1.413,1.9972,9.884
35,0.5,5,14.226,1.423,2.0238,9.753
36,0.5,6,14.124,1.412,1.9949,9.895
37,0.5,7,14.195,1.42,2.0151,9.796
38,0.5,8,14.087,1.409,1.9844,9.947
39,0.5,9,14.119,1.412,1.9934,9.903
40,0.5,10,14.195,1.419,2.0149,9.796
41,0.6,1,15.576,1.558,2.4261,9.764
42,0.6,2,15.547,1.555,2.4172,9.799
43,0.6,3,15.533,1.553,2.4128,9.817
44,0.6,4,15.524,1.552,2.4099,9.829
45,0.6,5,15.465,1.546,2.3917,9.904
46,0.6,6,15.503,1.55,2.4034,9.856
47,0.6,7,15.516,1.552,2.4074,9.839
48,0.6,8,15.592,1.559,2.431,9.744
49,0.6,9,15.556,1.556,2.4199,9.788
50,0.6,10,15.451,1.545,2.3873,9.922
51,0.7,1,16.8,1.68,2.8225,9.791
52,0.7,2,16.765,1.676,2.8106,9.833
53,0.7,3,16.75,1.675,2.8057,9.85
54,0.7,4,16.815,1.681,2.8273,9.774
55,0.7,5,16.836,1.684,2.8343,9.75
56,0.7,6,16.831,1.683,2.8327,9.756
57,0.7,7,16.742,1.674,2.8029,9.859
58,0.7,8,16.768,1.677,2.8118,9.828
59,0.7,9,16.801,1.68,2.8226,9.791
60,0.7,10,16.833,1.683,2.8334,9.753
61,0.8,1,17.919,1.792,3.2109,9.836
62,0.8,2,17.934,1.793,3.2161,9.82
63,0.8,3,17.887,1.789,3.1996,9.871
64,0.8,4,17.883,1.788,3.198,9.876
65,0.8,5,17.983,1.798,3.234,9.766
66,0.8,6,18.011,1.801,3.2438,9.736
67,0.8,7,17.939,1.794,3.2182,9.814
68,0.8,8,17.993,1.799,3.2375,9.755
69,0.8,9,17.961,1.796,3.2259,9.79
70,0.8,10,17.911,1.791,3.2079,9.845
71,0.9,1,19.049,1.905,3.6288,9.791
72,0.9,2,19.108,1.911,3.6512,9.731
73,0.9,3,19.029,1.903,3.6212,9.812
74,0.9,4,19.109,1.911,3.6517,9.73
75,0.9,5,18.9,1.89,3.5722,9.946
76,0.9,6,19.072,1.907,3.6375,9.768
77,0.9,7,19.036,1.904,3.6235,9.806
78,0.9,8,19.016,1.902,3.6162,9.825
79,0.9,9,19.036,1.904,3.6236,9.805
80,0.9,10,18.932,1.893,3.5841,9.913
81,1.0,1,20.05,2.005,4.0199,9.821
82,1.0,2,20.079,2.008,4.0315,9.793
83,1.0,3,20.135,2.013,4.054,9.738
84,1.0,4,20.035,2.003,4.0139,9.835
85,1.0,5,20.02,2.002,4.0081,9.85
86,1.0,6,20.036,2.004,4.0142,9.835
87,1.0,7,20.106,2.011,4.0427,9.765
88,1.0,8,20.077,2.008,4.0309,9.794
89,1.0,9,20.034,2.003,4.0137,9.836
90,1.0,10,20.086,2.009,4.0346,9.785
91,1.1,1,21.045,2.104,4.4288,9.805
92,1.1,2,21.088,2.109,4.4471,9.765
93,1.1,3,21.005,2.1,4.412,9.843
94,1.1,4,21.023,2.102,4.4198,9.825
95,1.1,5,21.02,2.102,4.4185,9.828
96,1.1,6,20.967,2.097,4.396,9.879
97,1.1,7,21.055,2.105,4.433,9.796
98,1.1,8,21.053,2.105,4.4322,9.798
99,1.1,9,21.04,2.104,4.4268,9.81
100,1.1,10,21.028,2.103,4.4218,9.821
